;[day of year];[day of year];[day of year];[kg N/ha];[kg N/ha];[kg N/ha];[day of year];[day of year];[day of year];[kg N/ha];[kg N/ha];[kg N/ha]
548;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
549;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
550;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
551;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
552;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
553;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
554;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
555;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
556;60;91;-9999;60;70;0;-9999;-9999;-9999;0;0;0
557;60;105;-999;85;85;0;-9999;-9999;-9999;0;0;0
558;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
559;60;91;-9999;100;84;0;-9999;-9999;-9999;0;0;0
560;60;105;-9999;60;70;0;-9999;-9999;-9999;0;0;0
561;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
562;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
563;87;135;-9999;80;55;0;-9999;-9999;-9999;0;0;0
564;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
565;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
566;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
567;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
568;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
569;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
570;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
571;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
572;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
573;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
574;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
575;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
576;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
577;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
578;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
579;60;105;-9999;60;70;0;-9999;-9999;-9999;0;0;0
580;-9999;-9999;-9999;0;0;0;61;137;-9999;74;60;0
581;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
582;-9999;-9999;-9999;0;0;0;61;137;-9999;74;60;0
583;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
584;-9999;-9999;-9999;0;0;0;61;137;-9999;74;60;0
585;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
586;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
587;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
588;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
599;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
